Time,Body,Position
22231584.0,Venus,108647901538.53572
22231584.0,Earth,148927922309.03488
22231584.0,Neptune,3006735637642.3784
22231584.0, Mars,213132271780.73212
22231584.0,Saturn,1512113427061.9446
22231584.0,Jupiter,814093026328.2184
22231584.0,Uranus,4552979693057.809
22247136.0,Mercury,68913022262.12784
22247136.0,Venus,108645168117.96515
22247136.0,Earth,148935264985.37195
22247136.0,Neptune,3006733868160.397
22247136.0, Mars,213103267786.03204
22247136.0,Saturn,1512112190206.5332
22247136.0,Jupiter,814089824121.7394
22247136.0,Uranus,4552979664657.717
22262688.0,Mercury,68961541524.42221
22262688.0,Venus,108642423338.18852
22262688.0,Earth,148942613903.6864
22262688.0,Neptune,3006732097441.2725
22262688.0, Mars,213074304197.29178
22262688.0,Saturn,1512110952496.9922
22262688.0,Jupiter,814086619750.4956
22262688.0,Uranus,4552979636237.823
22278240.0,Mercury,69008742838.68066
22278240.0,Venus,108639667266.33002
22278240.0,Earth,148949968991.9155
22278240.0,Neptune,3006730325485.005
22278240.0, Mars,213045381126.90192
22278240.0,Saturn,1512109713933.3435
22278240.0,Jupiter,814083413214.6439
22278240.0,Uranus,4552979607798.126
22293792.0,Mercury,69054624298.62738
22293792.0,Venus,108636899969.80513
22293792.0,Earth,148957330177.9569
22293792.0,Neptune,3006728552291.594
22293792.0, Mars,213016498687.18286
22293792.0,Saturn,1512108474515.6082
22293792.0,Jupiter,814080204514.342
22293792.0,Uranus,4552979579338.628
22308480.0,Mercury,69096743366.97888
22308480.0,Venus,108634276163.21109
22308480.0,Earth,148964287945.5364
22308480.0,Neptune,3006726876472.973
22308480.0, Mars,212989258232.80524
22308480.0,Saturn,1512107303170.2021
22308480.0,Jupiter,814077172087.8833
22308480.0,Uranus,4552979552442.03
22324896.0,Mercury,69142420320.01686
22324896.0,Venus,108631331972.7491
22324896.0,Earth,148972070554.1051
22324896.0,Neptune,3006725002193.348
22324896.0, Mars,212958856149.2122
22324896.0,Saturn,1512105993117.9636
22324896.0,Jupiter,814073780621.0171
22324896.0,Uranus,4552979522360.226
22340448.0,Mercury,69184331420.39578
22340448.0,Venus,108628531409.92441
22340448.0,Earth,148979449600.6499
22340448.0,Neptune,3006723225288.513
22340448.0, Mars,212930096274.72754
22340448.0,Saturn,1512104751138.0972
22340448.0,Jupiter,814070565428.3082
22340448.0,Uranus,4552979493841.322
22356000.0,Mercury,69224915675.9866
22356000.0,Venus,108625719894.98138
22356000.0,Earth,148986834456.21634
22356000.0,Neptune,3006721447146.5386
22356000.0, Mars,212901377479.4794
22356000.0,Saturn,1512103508304.2305
22356000.0,Jupiter,814067348071.779
22356000.0,Uranus,4552979465302.616
22371552.0,Mercury,69264171493.49557
22371552.0,Venus,108622897496.77162
22371552.0,Earth,148994225048.51486
22371552.0,Neptune,3006719667767.4233
22371552.0, Mars,212872699875.42642
22371552.0,Saturn,1512102264616.3848
22371552.0,Jupiter,814064128551.5872
22371552.0,Uranus,4552979436744.109
22387104.0,Mercury,69302097339.73297
22387104.0,Venus,108620064284.42966
22387104.0,Earth,149001621305.2206
22387104.0,Neptune,3006717887151.169
22387104.0, Mars,212844063574.4528
22387104.0,Saturn,1512101020074.5813
22387104.0,Jupiter,814060906867.8906
22387104.0,Uranus,4552979408165.802
22403520.0,Mercury,69340685560.43034
22403520.0,Venus,108617062020.04793
22403520.0,Earth,149009434527.64584
22403520.0,Neptune,3006716006269.646
22403520.0, Mars,212813881304.01978
22403520.0,Saturn,1512099705465.152
22403520.0,Jupiter,814057503854.8136
22403520.0,Uranus,4552979377978.328
22419072.0,Mercury,69375873025.89886
22419072.0,Venus,108614206799.00145
22419072.0,Earth,149016842201.00284
22419072.0,Neptune,3006714223110.384
22419072.0, Mars,212785330254.94183
22419072.0,Saturn,1512098459168.0593
22419072.0,Jupiter,814054277724.4098
22419072.0,Uranus,4552979349359.318
22434624.0,Mercury,69409726199.9672
22434624.0,Venus,108611340976.8061
22434624.0,Earth,149024255317.56302
22434624.0,Neptune,3006712438713.9844
22434624.0, Mars,212756820850.342
22434624.0,Saturn,1512097212017.075
22434624.0,Jupiter,814051049430.9843
22434624.0,Uranus,4552979320720.507
22450176.0,Mercury,69442243785.70068
22450176.0,Venus,108608464623.72978
22450176.0,Earth,149031673804.86548
22450176.0,Neptune,3006710653080.4473
22450176.0, Mars,212728353201.79446
22450176.0,Saturn,1512095964012.22
